Age,MP,PER,TS%,FTr,TRB%,AST%,STL%,USG%,W/L%,Share,Season,MVP_Rank,Awards,Player,Team,prominence_score,fatigue_decay,fatigue_streak,is_defending_mvp,MVP_Category,MVP_Performance_Category
26.0,1898.0,24.3,0.601,0.327,26.1,4.1,1.1,19.9,0.569,0.0,2021,0,DPOY-6,Clint Capela,ATL,0.0,0.0,0.0,0,No MVP Votes,Outside Top 5
27.0,2042.0,21.4,0.604,0.28,23.5,6.6,1.3,15.5,0.524,0.0,2022,0,No awards,Clint Capela,ATL,0.0,0.0,0.0,0,No MVP Votes,Outside Top 5
28.0,1730.0,22.1,0.656,0.244,22.7,4.7,1.2,15.7,0.5,0.0,2023,0,No awards,Clint Capela,ATL,0.0,0.0,0.0,0,No MVP Votes,Outside Top 5
29.0,1883.0,20.7,0.59,0.333,22.4,6.9,1.1,17.3,0.439,0.0,2024,0,No awards,Clint Capela,ATL,0.0,0.0,0.0,0,No MVP Votes,Outside Top 5
22.0,2555.0,19.7,0.534,0.253,10.4,24.4,3.2,23.5,0.512,0.001,1985,22,"MVP-22,6MOY-2",Clyde Drexler,POR,0.0,0.0,0.0,0,Outside Top 5 (with votes),Outside Top 5
23.0,2576.0,19.8,0.53,0.334,9.3,33.3,3.5,24.4,0.488,0.0,1986,0,AS,Clyde Drexler,POR,0.0,0.0,0.0,0,No MVP Votes,Outside Top 5
24.0,3114.0,20.2,0.552,0.334,9.3,26.2,3.0,23.6,0.598,0.0,1987,0,No awards,Clyde Drexler,POR,0.0,0.0,0.0,0,No MVP Votes,Outside Top 5
25.0,3060.0,24.1,0.564,0.35,9.4,23.5,3.1,28.0,0.646,0.108,1988,5,"MVP-5,DPOY-8,AS,NBA2",Clyde Drexler,POR,0.2,0.0,0.0,0,Top 5,Top 5 (not MVP this year)
26.0,3064.0,23.6,0.555,0.328,10.9,22.2,3.2,27.2,0.476,0.0,1989,0,AS,Clyde Drexler,POR,0.0,0.2,0.25,0,No MVP Votes,Outside Top 5
27.0,2683.0,22.2,0.551,0.317,10.3,24.8,2.5,25.5,0.72,0.003,1990,12,"MVP-12,AS,NBA3",Clyde Drexler,POR,0.08333333333333333,0.1,0.0,0,Outside Top 5 (with votes),Outside Top 5
28.0,2852.0,22.1,0.563,0.392,10.6,25.7,2.4,25.7,0.768,0.078,1991,6,"MVP-6,AS,NBA2",Clyde Drexler,POR,0.16666666666666666,0.13333333333333333,0.0,0,Outside Top 5 (with votes),Outside Top 5
29.0,2751.0,23.6,0.56,0.342,9.9,29.9,2.4,28.7,0.695,0.584,1992,2,"MVP-2,AS,NBA1",Clyde Drexler,POR,0.5,0.23333333333333334,0.0,0,Top 5,Top 5 (not MVP this year)
31.0,2334.0,18.4,0.514,0.333,10.4,21.9,2.0,25.0,0.573,0.0,1994,0,AS,Clyde Drexler,POR,0.0,0.30833333333333335,0.0,0,No MVP Votes,Outside Top 5
34.0,2271.0,19.9,0.548,0.298,9.5,26.4,2.7,23.5,0.695,0.0,1997,0,AS,Clyde Drexler,HOU,0.0,0.07708333333333334,0.0,0,No MVP Votes,Outside Top 5
35.0,2473.0,19.8,0.531,0.327,8.3,27.6,2.7,25.7,0.5,0.0,1998,0,No awards,Clyde Drexler,HOU,0.0,0.15416666666666667,0.0,0,No MVP Votes,Outside Top 5
27.0,1341.0,18.8,0.576,0.374,16.7,11.3,1.5,20.8,0.354,0.0,2020,0,No awards,Cody Zeller,CHO,0.0,0.0,0.0,0,No MVP Votes,Outside Top 5
28.0,1005.0,18.2,0.599,0.367,17.7,13.2,1.3,18.3,0.458,0.0,2021,0,No awards,Cody Zeller,CHO,0.0,0.0,0.0,0,No MVP Votes,Outside Top 5
26.0,976.0,18.1,0.513,0.213,20.0,13.3,2.0,18.3,0.207,0.0,2015,0,No awards,Cole Aldrich,NYK,0.0,0.0,0.0,0,No MVP Votes,Outside Top 5
